type,bounding_box,begin_time,end_time,details,span
Wind+Hail,1176_362_1252_433,2020-07-12 16:00:00,2020-07-12 16:00:00,,0 days 04:00:00
Thunderstorm_Wind,1270_313_1312_356,2020-07-12 16:00:00,2020-07-12 16:00:00,Thunderstorm_Wind 2020071216 2020071216,0 days 04:00:00
Hail,771_642_827_733,2020-07-12 16:00:00,2020-07-12 16:00:00,,0 days 04:00:00
Heat,457_462_483_496,2020-07-12 16:00:00,2020-07-12 16:00:00,,0 days 04:00:00
Heat,399_112_526_289,2020-07-12 16:00:00,2020-07-12 16:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1178_217_1273_310,2020-07-12 16:00:00,2020-07-15 16:00:00,"Hail 2020071219 2020071219,Thunderstorm_Wind 2020071216 2020071920",3 days 04:00:00
Thunderstorm_Wind,1199_243_1240_284,2020-07-12 16:00:00,2020-07-12 16:00:00,Thunderstorm_Wind 2020071216 2020071216,0 days 04:00:00
Heat,285_30_493_548,2020-07-12 16:00:00,2020-07-12 16:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,750_568_833_628,2020-07-12 16:00:00,2020-07-12 18:00:00,"Hail 2020071216 2020071218,Thunderstorm_Wind 2020071216 2020071218",0 days 06:00:00
Marine_Thunderstorm_Wind,1419_187_1473_250,2020-07-12 16:00:00,2020-07-12 18:00:00,Marine_Thunderstorm_Wind 2020071216 2020071218,0 days 06:00:00
Flash_Flood+Thunderstorm_Wind,1336_542_1414_601,2020-07-12 16:00:00,2020-07-12 22:00:00,"Flash_Flood 2020071221 2020071222,Thunderstorm_Wind 2020071216 2020071216",0 days 10:00:00
Marine_Thunderstorm_Wind,1183_216_1277_281,2020-07-12 17:00:00,2020-07-12 20:00:00,Marine_Thunderstorm_Wind 2020071217 2020071220,0 days 07:00:00
Thunderstorm_Wind,1481_645_1528_693,2020-07-12 17:00:00,2020-07-12 18:00:00,Thunderstorm_Wind 2020071217 2020071218,0 days 05:00:00
Thunderstorm_Wind,1245_254_1291_298,2020-07-12 17:00:00,2020-07-12 17:00:00,Thunderstorm_Wind 2020071217 2020071217,0 days 04:00:00
Heat,608_305_632_347,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Heat,568_257_598_279,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Heat,650_167_770_309,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Heat,732_86_788_118,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Heat,271_12_561_551,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Lightning,450_315_495_358,2020-07-12 17:00:00,2020-07-12 17:00:00,Lightning 2020071217 2020071217,0 days 04:00:00
Thunderstorm_Wind,583_563_653_620,2020-07-12 17:00:00,2020-07-13 15:00:00,Thunderstorm_Wind 2020071217 2020071315,1 days 02:00:00
Wind,1221_352_1265_395,2020-07-12 17:00:00,2020-07-12 17:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1280_510_1339_569,2020-07-12 17:00:00,2020-07-12 18:00:00,"Hail 2020071217 2020071218,Thunderstorm_Wind 2020071217 2020071218",0 days 05:00:00
Hail+Thunderstorm_Wind,1308_547_1352_591,2020-07-12 17:00:00,2020-07-12 19:00:00,"Hail 2020071219 2020071219,Thunderstorm_Wind 2020071217 2020071217",0 days 06:00:00
Wind,1160_341_1211_383,2020-07-12 18:00:00,2020-07-12 18:00:00,,0 days 04:00:00
Thunderstorm_Wind,463_555_538_625,2020-07-12 18:00:00,2020-07-12 22:00:00,Thunderstorm_Wind 2020071218 2020071222,0 days 08:00:00
Heat,212_0_884_601,2020-07-12 18:00:00,2020-07-12 18:00:00,,0 days 04:00:00
Wind,1229_346_1271_387,2020-07-12 18:00:00,2020-07-12 18:00:00,,0 days 04:00:00
Wind,1204_334_1256_383,2020-07-12 18:00:00,2020-07-12 18:00:00,,0 days 04:00:00
Heat,197_674_218_710,2020-07-12 19:00:00,2020-07-12 19:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,780_533_831_577,2020-07-12 19:00:00,2020-07-12 20:00:00,"Hail 2020071219 2020071220,Thunderstorm_Wind 2020071219 2020071219",0 days 05:00:00
Wind,1189_310_1279_379,2020-07-12 19:00:00,2020-07-12 19:00:00,,0 days 04:00:00
Thunderstorm_Wind,1212_587_1254_630,2020-07-12 19:00:00,2020-07-12 19:00:00,Thunderstorm_Wind 2020071219 2020071219,0 days 04:00:00
Hail+Thunderstorm_Wind,717_809_826_928,2020-07-12 19:00:00,2020-07-13 02:00:00,"Hail 2020071219 2020071222,Thunderstorm_Wind 2020071302 2020071302",0 days 11:00:00
Heat,181_0_956_609,2020-07-12 19:00:00,2020-07-12 19:00:00,,0 days 04:00:00
Hail,668_526_754_589,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Heat,161_0_1056_664,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Heat,605_731_693_795,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Heat,712_588_744_627,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Heat,1146_221_1171_248,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Wind,1221_312_1288_361,2020-07-12 20:00:00,2020-07-12 20:00:00,,0 days 04:00:00
Hail,714_550_767_597,2020-07-12 21:00:00,2020-07-12 21:00:00,,0 days 04:00:00
Marine_Thunderstorm_Wind,1170_215_1210_255,2020-07-12 21:00:00,2020-07-12 21:00:00,Marine_Thunderstorm_Wind 2020071221 2020071221,0 days 04:00:00
Wind,1218_290_1312_354,2020-07-12 21:00:00,2020-07-12 21:00:00,,0 days 04:00:00
Wind,1264_558_1412_637,2020-07-12 21:00:00,2020-07-12 21:00:00,,0 days 04:00:00
Flash_Flood+Thunderstorm_Wind,767_474_850_549,2020-07-12 21:00:00,2020-07-12 23:00:00,"Flash_Flood 2020071222 2020071223,Thunderstorm_Wind 2020071221 2020071222",0 days 06:00:00
Wind+Hail,1235_490_1321_565,2020-07-12 22:00:00,2020-07-12 22:00:00,,0 days 04:00:00
Wind,1481_646_1526_692,2020-07-12 22:00:00,2020-07-12 22:00:00,,0 days 04:00:00
Wind+Hail,707_543_790_611,2020-07-12 22:00:00,2020-07-12 22:00:00,,0 days 04:00:00
Hail+Wind+Tornado,708_528_814_623,2020-07-12 23:00:00,2020-07-12 23:00:00,,0 days 04:00:00
Wind,1294_514_1340_560,2020-07-12 23:00:00,2020-07-12 23:00:00,,0 days 04:00:00
Wind,1461_653_1528_695,2020-07-12 23:00:00,2020-07-12 23:00:00,,0 days 04:00:00
Wind,1149_250_1291_316,2020-07-12 23:00:00,2020-07-12 23:00:00,,0 days 04:00:00
Hail+Wind,687_542_810_639,2020-07-13 00:00:00,2020-07-13 00:00:00,,0 days 04:00:00
Wind,1544_735_1588_775,2020-07-13 00:00:00,2020-07-13 00:00:00,,0 days 04:00:00
Thunderstorm_Wind,800_434_842_476,2020-07-13 01:00:00,2020-07-13 01:00:00,Thunderstorm_Wind 2020071301 2020071301,0 days 04:00:00
Thunderstorm_Wind,827_395_923_500,2020-07-13 01:00:00,2020-07-13 04:00:00,Thunderstorm_Wind 2020071301 2020071304,0 days 07:00:00
Hail,933_807_989_877,2020-07-13 01:00:00,2020-07-13 01:00:00,,0 days 04:00:00
Wind+Hail,745_566_834_649,2020-07-13 01:00:00,2020-07-13 01:00:00,,0 days 04:00:00
Wind,955_824_1003_876,2020-07-13 02:00:00,2020-07-13 02:00:00,,0 days 04:00:00
Hail+Wind,742_533_848_644,2020-07-13 02:00:00,2020-07-13 02:00:00,,0 days 04:00:00
Wind,974_840_1041_900,2020-07-13 03:00:00,2020-07-13 03:00:00,,0 days 04:00:00
Wind+Hail,758_543_855_634,2020-07-13 03:00:00,2020-07-13 03:00:00,,0 days 04:00:00
Hail+Wind,758_543_831_614,2020-07-13 04:00:00,2020-07-13 04:00:00,,0 days 04:00:00
Wind,841_500_899_550,2020-07-13 08:00:00,2020-07-13 08:00:00,,0 days 04:00:00
Hail,841_883_887_929,2020-07-13 10:00:00,2020-07-13 11:00:00,Hail 2020071310 2020071311,0 days 05:00:00
Hail,816_878_864_922,2020-07-13 11:00:00,2020-07-13 11:00:00,Hail 2020071311 2020071311,0 days 04:00:00
Heat,348_394_385_436,2020-07-13 12:00:00,2020-07-13 12:00:00,,0 days 04:00:00
Heat,316_325_349_377,2020-07-13 12:00:00,2020-07-13 12:00:00,,0 days 04:00:00
Heat,372_426_392_447,2020-07-13 12:00:00,2020-07-13 12:00:00,,0 days 04:00:00
Heat,305_477_341_541,2020-07-13 12:00:00,2020-07-13 12:00:00,,0 days 04:00:00
Thunderstorm_Wind,1572_776_1634_825,2020-07-13 12:00:00,2020-07-13 13:00:00,Thunderstorm_Wind 2020071312 2020071313,0 days 05:00:00
Waterspout,1438_42_1484_91,2020-07-13 12:00:00,2020-07-13 13:00:00,Waterspout 2020071312 2020071313,0 days 05:00:00
Heat,305_375_335_406,2020-07-13 12:00:00,2020-07-13 12:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1399_427_1508_507,2020-07-13 13:00:00,2020-07-13 18:00:00,"Hail 2020071313 2020071315,Thunderstorm_Wind 2020071317 2020071318",0 days 09:00:00
Thunderstorm_Wind,505_405_549_448,2020-07-13 13:00:00,2020-07-13 13:00:00,Thunderstorm_Wind 2020071313 2020071313,0 days 04:00:00
Heat,316_339_342_377,2020-07-13 13:00:00,2020-07-13 13:00:00,,0 days 04:00:00
Heat,312_375_332_397,2020-07-13 13:00:00,2020-07-13 13:00:00,,0 days 04:00:00
Marine_Thunderstorm_Wind,1592_769_1640_830,2020-07-13 13:00:00,2020-07-13 14:00:00,Marine_Thunderstorm_Wind 2020071313 2020071314,0 days 05:00:00
Hail+Thunderstorm_Wind,1586_796_1644_893,2020-07-13 13:00:00,2020-07-13 17:00:00,"Hail 2020071317 2020071317,Thunderstorm_Wind 2020071313 2020071315",0 days 08:00:00
Heat,305_478_340_541,2020-07-13 13:00:00,2020-07-13 13:00:00,,0 days 04:00:00
Thunderstorm_Wind,624_580_759_647,2020-07-13 13:00:00,2020-07-13 17:00:00,Thunderstorm_Wind 2020071313 2020071317,0 days 08:00:00
Thunderstorm_Wind,577_611_717_681,2020-07-13 13:00:00,2020-07-13 15:00:00,Thunderstorm_Wind 2020071313 2020071315,0 days 06:00:00
Hail+Thunderstorm_Wind,1400_387_1445_462,2020-07-13 14:00:00,2020-07-13 16:00:00,"Hail 2020071314 2020071314,Thunderstorm_Wind 2020071314 2020071316",0 days 06:00:00
Heat,316_322_346_377,2020-07-13 14:00:00,2020-07-13 14:00:00,,0 days 04:00:00
Heat,391_475_419_514,2020-07-13 14:00:00,2020-07-13 14:00:00,,0 days 04:00:00
Heat,305_477_341_541,2020-07-13 14:00:00,2020-07-13 14:00:00,,0 days 04:00:00
Thunderstorm_Wind,592_324_707_439,2020-07-13 14:00:00,2020-07-13 19:00:00,Thunderstorm_Wind 2020071314 2020071319,0 days 09:00:00
Flash_Flood+Hail+Thunderstorm_Wind,1485_432_1536_491,2020-07-13 14:00:00,2020-07-13 16:00:00,"Flash_Flood 2020071316 2020071316,Hail 2020071314 2020071314,Thunderstorm_Wind 2020071314 2020071315",0 days 06:00:00
Funnel_Cloud,1443_118_1484_159,2020-07-13 14:00:00,2020-07-13 14:00:00,Funnel_Cloud 2020071314 2020071314,0 days 04:00:00
Thunderstorm_Wind,1612_879_1652_919,2020-07-13 14:00:00,2020-07-13 14:00:00,Thunderstorm_Wind 2020071314 2020071314,0 days 04:00:00
Thunderstorm_Wind,1571_729_1615_773,2020-07-13 14:00:00,2020-07-13 14:00:00,Thunderstorm_Wind 2020071314 2020071314,0 days 04:00:00
Heat,339_248_359_273,2020-07-13 14:00:00,2020-07-13 14:00:00,,0 days 04:00:00
Flood+Funnel_Cloud+Thunderstorm_Wind,1544_732_1637_815,2020-07-13 14:00:00,2020-07-13 19:00:00,"Flood 2020071314 2020071314,Funnel_Cloud 2020071314 2020071314,Thunderstorm_Wind 2020071314 2020071319",0 days 09:00:00
Heat,366_348_386_369,2020-07-13 15:00:00,2020-07-13 15:00:00,,0 days 04:00:00
Thunderstorm_Wind,703_467_747_510,2020-07-13 15:00:00,2020-07-13 15:00:00,Thunderstorm_Wind 2020071315 2020071315,0 days 04:00:00
Heat,290_470_346_543,2020-07-13 15:00:00,2020-07-13 15:00:00,,0 days 04:00:00
Heat,335_385_427_523,2020-07-13 15:00:00,2020-07-13 15:00:00,,0 days 04:00:00
Heat,305_230_374_427,2020-07-13 15:00:00,2020-07-13 15:00:00,,0 days 04:00:00
Heat,691_246_718_271,2020-07-13 16:00:00,2020-07-13 16:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,729_542_792_622,2020-07-13 16:00:00,2020-07-13 19:00:00,"Hail 2020071317 2020071317,Thunderstorm_Wind 2020071316 2020071319",0 days 07:00:00
Heat,663_184_776_215,2020-07-13 16:00:00,2020-07-13 16:00:00,,0 days 04:00:00
Heat,282_118_491_548,2020-07-13 16:00:00,2020-07-13 16:00:00,,0 days 04:00:00
Heat,762_94_789_121,2020-07-13 16:00:00,2020-07-13 16:00:00,,0 days 04:00:00
Heat,774_363_809_401,2020-07-13 16:00:00,2020-07-13 16:00:00,,0 days 04:00:00
Heat,280_8_880_584,2020-07-13 17:00:00,2020-07-13 17:00:00,,0 days 04:00:00
Heat,1027_263_1100_312,2020-07-13 17:00:00,2020-07-13 17:00:00,,0 days 04:00:00
Heat,1202_280_1228_304,2020-07-13 17:00:00,2020-07-13 17:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1482_485_1539_540,2020-07-13 17:00:00,2020-07-13 19:00:00,"Hail 2020071317 2020071317,Thunderstorm_Wind 2020071319 2020071319",0 days 06:00:00
Hail+Thunderstorm_Wind,753_588_850_667,2020-07-13 17:00:00,2020-07-13 20:00:00,"Hail 2020071317 2020071317,Thunderstorm_Wind 2020071317 2020071320",0 days 07:00:00
Heat,272_0_1111_585,2020-07-13 18:00:00,2020-07-13 18:00:00,,0 days 04:00:00
Heat,1208_275_1238_300,2020-07-13 18:00:00,2020-07-13 18:00:00,,0 days 04:00:00
Marine_Thunderstorm_Wind,1426_348_1468_389,2020-07-13 19:00:00,2020-07-13 19:00:00,Marine_Thunderstorm_Wind 2020071319 2020071319,0 days 04:00:00
Thunderstorm_Wind,765_569_831_615,2020-07-13 19:00:00,2020-07-13 21:00:00,Thunderstorm_Wind 2020071319 2020071321,0 days 06:00:00
Wind+Hail,1491_449_1532_490,2020-07-13 19:00:00,2020-07-13 19:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1540_733_1584_776,2020-07-13 19:00:00,2020-07-13 19:00:00,"Hail 2020071319 2020071319,Thunderstorm_Wind 2020071319 2020071319",0 days 04:00:00
Heat,215_0_1111_620,2020-07-13 19:00:00,2020-07-13 19:00:00,,0 days 04:00:00
Hail+Wind,1403_420_1445_461,2020-07-13 19:00:00,2020-07-13 19:00:00,,0 days 04:00:00
Funnel_Cloud+Hail,927_805_990_878,2020-07-13 19:00:00,2020-07-13 20:00:00,"Funnel_Cloud 2020071319 2020071319,Hail 2020071319 2020071320",0 days 05:00:00
Hail+Thunderstorm_Wind,739_527_833_615,2020-07-13 19:00:00,2020-07-13 22:00:00,"Hail 2020071319 2020071322,Thunderstorm_Wind 2020071320 2020071322",0 days 07:00:00
Wind,599_600_737_682,2020-07-13 20:00:00,2020-07-13 20:00:00,,0 days 04:00:00
Hail+Wind,1469_436_1541_530,2020-07-13 20:00:00,2020-07-13 20:00:00,,0 days 04:00:00
Heat,207_0_1170_624,2020-07-13 20:00:00,2020-07-13 20:00:00,,0 days 04:00:00
Thunderstorm_Wind,955_823_1062_905,2020-07-13 20:00:00,2020-07-13 22:00:00,Thunderstorm_Wind 2020071320 2020071322,0 days 06:00:00
Heat,197_692_218_714,2020-07-13 20:00:00,2020-07-13 20:00:00,,0 days 04:00:00
Thunderstorm_Wind,802_589_856_642,2020-07-13 20:00:00,2020-07-13 21:00:00,Thunderstorm_Wind 2020071320 2020071321,0 days 05:00:00
Wind,629_584_702_677,2020-07-13 21:00:00,2020-07-13 21:00:00,,0 days 04:00:00
Hail+Wind,1448_456_1541_530,2020-07-13 22:00:00,2020-07-13 22:00:00,,0 days 04:00:00
Hail,721_727_762_768,2020-07-13 22:00:00,2020-07-13 22:00:00,Hail 2020071322 2020071322,0 days 04:00:00
Wind,585_583_728_658,2020-07-13 22:00:00,2020-07-13 22:00:00,,0 days 04:00:00
Hail,967_789_1007_829,2020-07-13 22:00:00,2020-07-13 22:00:00,Hail 2020071322 2020071322,0 days 04:00:00
Wind+Hail,687_543_815_659,2020-07-13 23:00:00,2020-07-13 23:00:00,,0 days 04:00:00
Wind+Hail,982_625_1028_671,2020-07-14 00:00:00,2020-07-14 00:00:00,,0 days 04:00:00
Wind,984_618_1041_670,2020-07-14 01:00:00,2020-07-14 01:00:00,,0 days 04:00:00
Tornado,709_497_752_539,2020-07-14 01:00:00,2020-07-14 01:00:00,,0 days 04:00:00
Lightning,908_658_950_700,2020-07-14 01:00:00,2020-07-14 01:00:00,Lightning 2020071401 2020071401,0 days 04:00:00
Tornado+Wind,756_421_809_481,2020-07-14 01:00:00,2020-07-14 01:00:00,,0 days 04:00:00
Wind,780_430_824_476,2020-07-14 02:00:00,2020-07-14 02:00:00,,0 days 04:00:00
Flood+Thunderstorm_Wind,839_499_899_553,2020-07-14 02:00:00,2020-07-14 08:00:00,"Flood 2020071402 2020071408,Thunderstorm_Wind 2020071402 2020071402",0 days 10:00:00
Wind+Hail,996_613_1047_660,2020-07-14 02:00:00,2020-07-14 02:00:00,,0 days 04:00:00
Marine_Thunderstorm_Wind,1490_556_1534_603,2020-07-14 03:00:00,2020-07-14 03:00:00,Marine_Thunderstorm_Wind 2020071403 2020071403,0 days 04:00:00
Hail+Thunderstorm_Wind,1555_759_1620_842,2020-07-14 03:00:00,2020-07-14 15:00:00,"Hail 2020071411 2020071415,Thunderstorm_Wind 2020071403 2020071403",0 days 16:00:00
Flash_Flood+Flood+Funnel_Cloud+Heavy_Rain,1045_710_1101_796,2020-07-14 04:00:00,2020-07-14 20:00:00,"Flash_Flood 2020071411 2020071413,Flood 2020071408 2020071420,Funnel_Cloud 2020071415 2020071415,Heavy_Rain 2020071404 2020071412",0 days 20:00:00
Funnel_Cloud+Hail+Heavy_Rain+Thunderstorm_Wind,966_589_1051_690,2020-07-14 05:00:00,2020-07-15 10:00:00,"Funnel_Cloud 2020071417 2020071417,Hail 2020071417 2020071420,Heavy_Rain 2020071405 2020071510,Thunderstorm_Wind 2020071418 2020071420",1 days 09:00:00
Flash_Flood,1539_786_1608_872,2020-07-14 06:00:00,2020-07-14 12:00:00,Flash_Flood 2020071406 2020071412,0 days 10:00:00
Hail,1000_740_1043_785,2020-07-14 06:00:00,2020-07-14 06:00:00,Hail 2020071406 2020071406,0 days 04:00:00
Hail+Thunderstorm_Wind,1591_794_1639_841,2020-07-14 07:00:00,2020-07-14 08:00:00,"Hail 2020071407 2020071408,Thunderstorm_Wind 2020071407 2020071408",0 days 05:00:00
Flash_Flood,1542_819_1589_865,2020-07-14 07:00:00,2020-07-14 10:00:00,Flash_Flood 2020071407 2020071410,0 days 07:00:00
Hail+Thunderstorm_Wind,1548_736_1630_811,2020-07-14 09:00:00,2020-07-14 14:00:00,"Hail 2020071409 2020071414,Thunderstorm_Wind 2020071411 2020071411",0 days 09:00:00
Hail+Thunderstorm_Wind,1562_728_1602_772,2020-07-14 12:00:00,2020-07-14 12:00:00,"Hail 2020071412 2020071412,Thunderstorm_Wind 2020071412 2020071412",0 days 04:00:00
Hail,1001_741_1042_784,2020-07-14 12:00:00,2020-07-14 12:00:00,,0 days 04:00:00
Thunderstorm_Wind,1517_751_1559_795,2020-07-14 13:00:00,2020-07-14 13:00:00,Thunderstorm_Wind 2020071413 2020071413,0 days 04:00:00
Flash_Flood,1601_814_1658_868,2020-07-14 13:00:00,2020-07-14 16:00:00,Flash_Flood 2020071413 2020071416,0 days 07:00:00
Flash_Flood+Flood+Hail+Thunderstorm_Wind,1591_716_1636_771,2020-07-14 13:00:00,2020-07-14 14:00:00,"Flash_Flood 2020071414 2020071414,Flood 2020071413 2020071414,Hail 2020071414 2020071414,Thunderstorm_Wind 2020071413 2020071414",0 days 05:00:00
Thunderstorm_Wind,1086_308_1127_349,2020-07-14 14:00:00,2020-07-14 14:00:00,Thunderstorm_Wind 2020071414 2020071414,0 days 04:00:00
Thunderstorm_Wind,478_292_518_332,2020-07-14 14:00:00,2020-07-14 14:00:00,Thunderstorm_Wind 2020071414 2020071414,0 days 04:00:00
Marine_Thunderstorm_Wind,1418_183_1473_247,2020-07-14 14:00:00,2020-07-14 15:00:00,Marine_Thunderstorm_Wind 2020071414 2020071415,0 days 05:00:00
Thunderstorm_Wind+Tornado,1138_214_1191_261,2020-07-14 14:00:00,2020-07-14 14:00:00,"Thunderstorm_Wind 2020071414 2020071414,Tornado 2020071414 2020071414",0 days 04:00:00
Thunderstorm_Wind,1047_744_1088_785,2020-07-14 15:00:00,2020-07-14 15:00:00,Thunderstorm_Wind 2020071415 2020071415,0 days 04:00:00
Hail+Thunderstorm_Wind+Tornado,681_471_772_567,2020-07-14 15:00:00,2020-07-14 19:00:00,"Hail 2020071415 2020071415,Thunderstorm_Wind 2020071419 2020071419,Tornado 2020071418 2020071418",0 days 08:00:00
Heat,659_172_774_298,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Thunderstorm_Wind,1385_237_1426_279,2020-07-14 16:00:00,2020-07-14 16:00:00,Thunderstorm_Wind 2020071416 2020071416,0 days 04:00:00
Heat,766_64_824_118,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Heat,1199_265_1225_301,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Heat,289_158_481_543,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Hail+Wind,1555_758_1596_800,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Thunderstorm_Wind,638_308_680_349,2020-07-14 16:00:00,2020-07-14 16:00:00,Thunderstorm_Wind 2020071416 2020071416,0 days 04:00:00
Heat,716_325_737_348,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Heat,765_360_841_430,2020-07-14 16:00:00,2020-07-14 16:00:00,,0 days 04:00:00
Hail+Wind,1562_729_1602_769,2020-07-14 17:00:00,2020-07-14 17:00:00,,0 days 04:00:00
Tornado,1461_123_1503_165,2020-07-14 17:00:00,2020-07-14 17:00:00,Tornado 2020071417 2020071417,0 days 04:00:00
Heat,289_94_513_546,2020-07-14 17:00:00,2020-07-14 17:00:00,,0 days 04:00:00
Marine_Thunderstorm_Wind,1467_101_1508_142,2020-07-14 17:00:00,2020-07-14 17:00:00,Marine_Thunderstorm_Wind 2020071417 2020071417,0 days 04:00:00
Heat,641_16_881_447,2020-07-14 17:00:00,2020-07-14 17:00:00,,0 days 04:00:00
Heavy_Rain,1124_793_1165_834,2020-07-14 17:00:00,2020-07-14 21:00:00,Heavy_Rain 2020071417 2020071421,0 days 08:00:00
Heat,1203_261_1257_307,2020-07-14 17:00:00,2020-07-14 17:00:00,,0 days 04:00:00
Heat,1371_274_1412_296,2020-07-14 17:00:00,2020-07-14 17:00:00,,0 days 04:00:00
Heat,1353_272_1422_389,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Heat,1138_256_1250_323,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Heat,1451_158_1472_179,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Wind,1513_752_1559_800,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Wind,1592_719_1634_770,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Hail+Thunderstorm_Wind,1081_743_1122_784,2020-07-14 18:00:00,2020-07-14 18:00:00,"Hail 2020071418 2020071418,Thunderstorm_Wind 2020071418 2020071418",0 days 04:00:00
Heat,281_0_912_555,2020-07-14 18:00:00,2020-07-14 18:00:00,,0 days 04:00:00
Thunderstorm_Wind+Tornado,755_421_828_479,2020-07-14 19:00:00,2020-07-14 20:00:00,"Thunderstorm_Wind 2020071419 2020071420,Tornado 2020071419 2020071419",0 days 05:00:00
Heat,274_0_944_567,2020-07-14 19:00:00,2020-07-14 19:00:00,,0 days 04:00:00
Thunderstorm_Wind,746_441_799_499,2020-07-14 19:00:00,2020-07-14 21:00:00,Thunderstorm_Wind 2020071419 2020071421,0 days 06:00:00
Heat,1130_245_1270_323,2020-07-14 19:00:00,2020-07-14 19:00:00,,0 days 04:00:00
Thunderstorm_Wind,760_344_803_386,2020-07-14 19:00:00,2020-07-14 19:00:00,Thunderstorm_Wind 2020071419 2020071419,0 days 04:00:00
Wind+Tornado,1140_217_1191_260,2020-07-14 19:00:00,2020-07-14 19:00:00,,0 days 04:00:00
Heat,1365_273_1440_388,2020-07-14 19:00:00,2020-07-14 19:00:00,,0 days 04:00:00
Wind+Hail,1578_719_1637_809,2020-07-14 19:00:00,2020-07-14 19:00:00,,0 days 04:00:00
Heat,1353_310_1465_421,2020-07-14 20:00:00,2020-07-14 20:00:00,,0 days 04:00:00
Heat,1130_259_1259_299,2020-07-14 20:00:00,2020-07-14 20:00:00,,0 days 04:00:00
Heat,194_682_219_713,2020-07-14 20:00:00,2020-07-14 20:00:00,,0 days 04:00:00
Heat,273_0_965_570,2020-07-14 20:00:00,2020-07-14 20:00:00,,0 days 04:00:00
Heavy_Rain+Thunderstorm_Wind,744_456_877_534,2020-07-14 21:00:00,2020-07-15 06:00:00,"Heavy_Rain 2020071423 2020071506,Thunderstorm_Wind 2020071421 2020071422",0 days 13:00:00
Hail,685_529_729_569,2020-07-14 22:00:00,2020-07-14 22:00:00,,0 days 04:00:00
Flood+Thunderstorm_Wind,850_490_928_546,2020-07-15 00:00:00,2020-07-18 00:00:00,"Flood 2020071501 2020071811,Thunderstorm_Wind 2020071500 2020071501",3 days 04:00:00
Wind,1103_497_1153_537,2020-07-15 00:00:00,2020-07-15 00:00:00,,0 days 04:00:00
Wind,1115_493_1158_536,2020-07-15 01:00:00,2020-07-15 01:00:00,,0 days 04:00:00
Flash_Flood+Flood,955_561_1057_616,2020-07-15 02:00:00,2020-07-15 10:00:00,"Flash_Flood 2020071502 2020071508,Flood 2020071507 2020071510",0 days 12:00:00
Wind,1110_199_1150_241,2020-07-15 02:00:00,2020-07-15 02:00:00,,0 days 04:00:00
Flood+Hail+Heavy_Rain+Thunderstorm_Wind,1118_603_1191_662,2020-07-15 06:00:00,2020-07-16 07:00:00,"Flood 2020071518 2020071522,Hail 2020071515 2020071516,Heavy_Rain 2020071506 2020071607,Thunderstorm_Wind 2020071515 2020071516",1 days 05:00:00
Thunderstorm_Wind,938_521_981_565,2020-07-15 08:00:00,2020-07-15 08:00:00,Thunderstorm_Wind 2020071508 2020071508,0 days 04:00:00
Flash_Flood+Flood+Thunderstorm_Wind+Tornado,1094_554_1162_647,2020-07-15 12:00:00,2020-07-16 08:00:00,"Flash_Flood 2020071514 2020071520,Flood 2020071520 2020071608,Thunderstorm_Wind 2020071513 2020071513,Tornado 2020071512 2020071516",1 days 00:00:00
Flash_Flood+Hail+Heavy_Rain+Thunderstorm_Wind,662_498_747_578,2020-07-15 12:00:00,2020-07-15 23:00:00,"Flash_Flood 2020071514 2020071520,Hail 2020071512 2020071515,Heavy_Rain 2020071514 2020071523,Thunderstorm_Wind 2020071517 2020071517",0 days 15:00:00
