type,bounding_box,begin_time,end_time,details
Flash_Flood+Flood,955_561_1057_616,2020-07-15 02:00:00,2020-07-15 10:00:00,"Flash_Flood 2020071502 2020071508,Flood 2020071507 2020071510"
Hail,955_532_997_574,2020-07-19 15:00:00,2020-07-19 15:00:00,Hail 2020071915 2020071915
Thunderstorm_Wind,967_538_1008_579,2020-07-21 01:00:00,2020-07-21 01:00:00,Thunderstorm_Wind 2020072101 2020072101
Tornado,962_542_1004_584,2020-07-29 12:00:00,2020-07-29 12:00:00,Tornado 2020072912 2020072912
Thunderstorm_Wind,1521_718_1566_765,2020-07-03 14:00:00,2020-07-03 15:00:00,Thunderstorm_Wind 2020070314 2020070315
Thunderstorm_Wind,1549_773_1591_816,2020-07-05 18:00:00,2020-07-05 18:00:00,Thunderstorm_Wind 2020070518 2020070518
Hail+Thunderstorm_Wind,730_621_869_714,2020-07-06 17:00:00,2020-07-07 00:00:00,"Hail 2020070617 2020070618,Thunderstorm_Wind 2020070619 2020070700"
Thunderstorm_Wind,914_421_959_482,2020-07-02 10:00:00,2020-07-02 11:00:00,Thunderstorm_Wind 2020070210 2020070211
Thunderstorm_Wind,971_395_1016_470,2020-07-11 19:00:00,2020-07-11 21:00:00,Thunderstorm_Wind 2020071119 2020071121
Funnel_Cloud+Hail+Tornado,911_788_963_859,2020-07-11 12:00:00,2020-07-11 13:00:00,"Funnel_Cloud 2020071112 2020071113,Hail 2020071113 2020071113,Tornado 2020071112 2020071112"
Flash_Flood+Hail+Heavy_Rain+Thunderstorm_Wind,887_866_946_927,2020-07-03 23:00:00,2020-07-04 10:00:00,"Flash_Flood 2020070407 2020070410,Hail 2020070323 2020070401,Heavy_Rain 2020070406 2020070407,Thunderstorm_Wind 2020070401 2020070401"
Marine_Thunderstorm_Wind,1217_744_1282_851,2020-07-19 04:00:00,2020-07-19 07:00:00,Marine_Thunderstorm_Wind 2020071904 2020071907
Waterspout,1415_29_1461_78,2020-07-04 05:00:00,2020-07-04 06:00:00,Waterspout 2020070405 2020070406
Waterspout,1432_26_1484_83,2020-07-05 13:00:00,2020-07-05 13:00:00,Waterspout 2020070513 2020070513
Marine_Thunderstorm_Wind,1459_52_1499_92,2020-07-10 17:00:00,2020-07-10 17:00:00,Marine_Thunderstorm_Wind 2020071017 2020071017
Marine_Thunderstorm_Wind,1444_40_1484_80,2020-07-15 19:00:00,2020-07-15 19:00:00,Marine_Thunderstorm_Wind 2020071519 2020071519
Marine_Thunderstorm_Wind+Waterspout,1417_33_1484_87,2020-07-16 09:00:00,2020-07-16 18:00:00,"Marine_Thunderstorm_Wind 2020071618 2020071618,Waterspout 2020071609 2020071612"
Flash_Flood+Thunderstorm_Wind,767_474_850_549,2020-07-12 21:00:00,2020-07-12 23:00:00,"Flash_Flood 2020071222 2020071223,Thunderstorm_Wind 2020071221 2020071222"
Heavy_Rain+Thunderstorm_Wind,744_456_877_534,2020-07-14 21:00:00,2020-07-15 06:00:00,"Heavy_Rain 2020071423 2020071506,Thunderstorm_Wind 2020071421 2020071422"
Thunderstorm_Wind,1466_584_1507_625,2020-07-20 17:00:00,2020-07-20 17:00:00,Thunderstorm_Wind 2020072017 2020072017
Thunderstorm_Wind,1413_545_1498_623,2020-07-21 12:00:00,2020-07-21 18:00:00,Thunderstorm_Wind 2020072112 2020072118
Thunderstorm_Wind,1474_609_1515_651,2020-07-24 17:00:00,2020-07-24 17:00:00,Thunderstorm_Wind 2020072417 2020072417
Thunderstorm_Wind,1446_557_1504_610,2020-07-28 15:00:00,2020-07-28 17:00:00,Thunderstorm_Wind 2020072815 2020072817
Flash_Flood,1526_671_1570_724,2020-07-06 15:00:00,2020-07-06 16:00:00,Flash_Flood 2020070615 2020070616
Thunderstorm_Wind,1110_602_1150_642,2020-07-07 17:00:00,2020-07-07 17:00:00,Thunderstorm_Wind 2020070717 2020070717
Flash_Flood+Thunderstorm_Wind,1086_580_1180_661,2020-07-09 16:00:00,2020-07-09 23:00:00,"Flash_Flood 2020070916 2020070922,Thunderstorm_Wind 2020070918 2020070923"
Thunderstorm_Wind,1231_407_1353_493,2020-07-04 15:00:00,2020-07-04 17:00:00,Thunderstorm_Wind 2020070415 2020070417
Thunderstorm_Wind,1259_419_1365_513,2020-07-05 14:00:00,2020-07-05 17:00:00,Thunderstorm_Wind 2020070514 2020070517
Hail,594_764_750_857,2020-07-06 13:00:00,2020-07-06 17:00:00,Hail 2020070613 2020070617
Marine_Thunderstorm_Wind,1389_211_1446_305,2020-07-01 12:00:00,2020-07-01 17:00:00,Marine_Thunderstorm_Wind 2020070112 2020070117
Flood+Thunderstorm_Wind,729_445_772_488,2020-07-19 17:00:00,2020-07-19 18:00:00,"Flood 2020071917 2020071918,Thunderstorm_Wind 2020071917 2020071917"
Hail+Thunderstorm_Wind,1097_786_1181_853,2020-07-05 13:00:00,2020-07-05 19:00:00,"Hail 2020070513 2020070513,Thunderstorm_Wind 2020070513 2020070519"
Thunderstorm_Wind,1191_654_1242_699,2020-08-28 23:00:00,2020-08-28 23:00:00,Thunderstorm_Wind 2020082823 2020082823
Flood,1135_743_1183_802,2020-07-01 00:00:00,2020-07-31 23:00:00,Flood 2020070100 2020073123
Marine_Thunderstorm_Wind,1140_722_1185_767,2020-07-28 17:00:00,2020-07-28 18:00:00,Marine_Thunderstorm_Wind 2020072817 2020072818
Thunderstorm_Wind,286_560_428_687,2020-07-21 01:00:00,2020-07-23 17:00:00,Thunderstorm_Wind 2020072101 2020072317
Marine_Thunderstorm_Wind,1406_221_1451_267,2020-07-11 13:00:00,2020-07-11 13:00:00,Marine_Thunderstorm_Wind 2020071113 2020071113
Thunderstorm_Wind,1385_237_1426_279,2020-07-14 16:00:00,2020-07-14 16:00:00,Thunderstorm_Wind 2020071416 2020071416
Funnel_Cloud,1114_618_1166_676,2020-07-20 15:00:00,2020-07-20 16:00:00,Funnel_Cloud 2020072015 2020072016
Marine_Thunderstorm_Wind,1597_759_1640_803,2020-07-30 17:00:00,2020-07-30 17:00:00,Marine_Thunderstorm_Wind 2020073017 2020073017
Thunderstorm_Wind,1238_583_1280_625,2020-07-07 12:00:00,2020-07-07 12:00:00,Thunderstorm_Wind 2020070712 2020070712
Flood+Thunderstorm_Wind,1259_590_1330_638,2020-07-07 14:00:00,2020-07-07 18:00:00,"Flood 2020070717 2020070718,Thunderstorm_Wind 2020070714 2020070714"
Thunderstorm_Wind,1403_435_1465_505,2020-07-10 19:00:00,2020-07-10 21:00:00,Thunderstorm_Wind 2020071019 2020071021
Flash_Flood,954_516_996_558,2020-07-30 14:00:00,2020-07-30 15:00:00,Flash_Flood 2020073014 2020073015
Flash_Flood+Flood,956_499_1034_609,2020-07-29 22:00:00,2020-07-31 09:00:00,"Flash_Flood 2020073017 2020073109,Flood 2020072922 2020073106"
Thunderstorm_Wind,1078_668_1118_708,2020-07-11 18:00:00,2020-07-11 18:00:00,Thunderstorm_Wind 2020071118 2020071118
Thunderstorm_Wind,1136_692_1177_734,2020-07-18 11:00:00,2020-07-18 11:00:00,Thunderstorm_Wind 2020071811 2020071811
Thunderstorm_Wind,1094_712_1135_753,2020-07-19 03:00:00,2020-07-19 03:00:00,Thunderstorm_Wind 2020071903 2020071903
Flood+Thunderstorm_Wind,1122_200_1163_241,2020-07-01 15:00:00,2020-07-01 16:00:00,"Flood 2020070116 2020070116,Thunderstorm_Wind 2020070115 2020070115"
Thunderstorm_Wind,975_399_1020_470,2020-07-09 09:00:00,2020-07-09 10:00:00,Thunderstorm_Wind 2020070909 2020070910
Thunderstorm_Wind,990_400_1030_440,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217
Funnel_Cloud,863_868_904_909,2020-07-11 17:00:00,2020-07-11 17:00:00,Funnel_Cloud 2020071117 2020071117
Hail+Thunderstorm_Wind,901_787_987_891,2020-07-08 21:00:00,2020-07-09 01:00:00,"Hail 2020070821 2020070901,Thunderstorm_Wind 2020070823 2020070901"
Thunderstorm_Wind,1331_260_1371_305,2020-07-30 14:00:00,2020-07-30 15:00:00,Thunderstorm_Wind 2020073014 2020073015
Thunderstorm_Wind,1316_245_1357_286,2020-07-03 17:00:00,2020-07-03 17:00:00,Thunderstorm_Wind 2020070317 2020070317
Thunderstorm_Wind,1243_234_1335_299,2020-07-10 17:00:00,2020-07-12 17:00:00,Thunderstorm_Wind 2020071017 2020071217
Marine_Thunderstorm_Wind,1418_29_1511_108,2020-07-17 07:00:00,2020-07-18 06:00:00,Marine_Thunderstorm_Wind 2020071707 2020071806
Thunderstorm_Wind,755_493_796_534,2020-07-18 18:00:00,2020-07-18 18:00:00,Thunderstorm_Wind 2020071818 2020071818
Thunderstorm_Wind,744_456_794_506,2020-07-20 21:00:00,2020-07-20 21:00:00,Thunderstorm_Wind 2020072021 2020072021
Thunderstorm_Wind,1485_572_1526_613,2020-07-28 17:00:00,2020-07-28 17:00:00,Thunderstorm_Wind 2020072817 2020072817
Marine_Thunderstorm_Wind,1472_569_1512_609,2020-07-28 16:00:00,2020-07-28 16:00:00,Marine_Thunderstorm_Wind 2020072816 2020072816
Thunderstorm_Wind,1427_558_1500_635,2020-07-31 15:00:00,2020-07-31 19:00:00,Thunderstorm_Wind 2020073115 2020073119
Thunderstorm_Wind,1498_644_1533_726,2020-07-07 13:00:00,2020-07-07 13:00:00,Thunderstorm_Wind 2020070713 2020070713
Flash_Flood,1523_702_1565_744,2020-07-08 12:00:00,2020-07-08 14:00:00,Flash_Flood 2020070812 2020070814
Flash_Flood+Heavy_Rain,1354_366_1404_414,2020-07-06 07:00:00,2020-07-08 07:00:00,"Flash_Flood 2020070711 2020070713,Heavy_Rain 2020070607 2020070807"
Flash_Flood+Heavy_Rain,1341_356_1397_415,2020-07-06 00:00:00,2020-07-08 07:00:00,"Flash_Flood 2020070711 2020070712,Heavy_Rain 2020070600 2020070807"
Hail,742_431_784_473,2020-07-19 19:00:00,2020-07-19 19:00:00,Hail 2020071919 2020071919
Hail+Thunderstorm_Wind,716_449_798_499,2020-07-20 17:00:00,2020-07-20 21:00:00,"Hail 2020072017 2020072017,Thunderstorm_Wind 2020072021 2020072021"
Flash_Flood,1520_660_1574_708,2020-07-24 00:00:00,2020-07-24 03:00:00,Flash_Flood 2020072400 2020072403
Hail,705_538_767_597,2020-07-12 13:00:00,2020-07-12 16:00:00,Hail 2020071213 2020071216
Thunderstorm_Wind,624_580_759_647,2020-07-13 13:00:00,2020-07-13 17:00:00,Thunderstorm_Wind 2020071313 2020071317
Hail,677_544_718_585,2020-07-15 14:00:00,2020-07-15 14:00:00,Hail 2020071514 2020071514
Hail,741_590_798_645,2020-07-16 17:00:00,2020-07-16 18:00:00,Hail 2020071617 2020071618
Marine_Thunderstorm_Wind,1149_784_1203_836,2020-07-06 16:00:00,2020-07-06 16:00:00,Marine_Thunderstorm_Wind 2020070616 2020070616
Hail,665_599_717_649,2020-07-20 15:00:00,2020-07-20 16:00:00,Hail 2020072015 2020072016
Hail,698_579_775_644,2020-07-21 17:00:00,2020-07-21 20:00:00,Hail 2020072117 2020072120
Thunderstorm_Wind,717_576_757_616,2020-07-29 17:00:00,2020-07-29 17:00:00,Thunderstorm_Wind 2020072917 2020072917
Hail,672_585_716_629,2020-07-30 15:00:00,2020-07-30 15:00:00,Hail 2020073015 2020073015
Hail,661_577_710_620,2020-07-31 16:00:00,2020-07-31 19:00:00,Hail 2020073116 2020073119
Thunderstorm_Wind,1253_417_1370_516,2020-07-23 11:00:00,2020-07-23 16:00:00,Thunderstorm_Wind 2020072311 2020072316
Thunderstorm_Wind,1309_327_1380_377,2020-07-01 12:00:00,2020-07-01 13:00:00,Thunderstorm_Wind 2020070112 2020070113
Thunderstorm_Wind,1363_215_1406_259,2020-07-15 19:00:00,2020-07-15 19:00:00,Thunderstorm_Wind 2020071519 2020071519
Heavy_Rain+Lightning+Thunderstorm_Wind,1390_223_1433_270,2020-07-26 15:00:00,2020-07-27 15:00:00,"Heavy_Rain 2020072615 2020072615,Lightning 2020072715 2020072715,Thunderstorm_Wind 2020072715 2020072715"
Flash_Flood+Heavy_Rain,1390_240_1436_290,2020-07-28 16:00:00,2020-07-28 19:00:00,"Flash_Flood 2020072818 2020072819,Heavy_Rain 2020072816 2020072819"
Hail+Thunderstorm_Wind,1527_775_1594_885,2020-07-08 14:00:00,2020-07-08 17:00:00,"Hail 2020070814 2020070814,Thunderstorm_Wind 2020070814 2020070817"
Tornado,1095_630_1141_677,2020-07-04 18:00:00,2020-07-04 18:00:00,Tornado 2020070418 2020070418
Marine_Thunderstorm_Wind,1152_649_1193_691,2020-07-07 20:00:00,2020-07-07 20:00:00,Marine_Thunderstorm_Wind 2020070720 2020070720
Thunderstorm_Wind,955_823_1062_905,2020-07-13 20:00:00,2020-07-13 22:00:00,Thunderstorm_Wind 2020071320 2020071322
Flood+Hail+Thunderstorm_Wind,1244_571_1291_655,2020-07-08 14:00:00,2020-07-08 18:00:00,"Flood 2020070817 2020070818,Hail 2020070816 2020070818,Thunderstorm_Wind 2020070814 2020070816"
Thunderstorm_Wind,1294_560_1337_604,2020-07-22 14:00:00,2020-07-22 14:00:00,Thunderstorm_Wind 2020072214 2020072214
Hail+Thunderstorm_Wind,1251_539_1299_598,2020-07-09 12:00:00,2020-07-09 14:00:00,"Hail 2020070912 2020070912,Thunderstorm_Wind 2020070913 2020070914"
Hail+Thunderstorm_Wind,1540_733_1584_776,2020-07-13 19:00:00,2020-07-13 19:00:00,"Hail 2020071319 2020071319,Thunderstorm_Wind 2020071319 2020071319"
Thunderstorm_Wind,1535_742_1576_784,2020-07-02 17:00:00,2020-07-02 17:00:00,Thunderstorm_Wind 2020070217 2020070217
Thunderstorm_Wind,1517_751_1559_795,2020-07-14 13:00:00,2020-07-14 13:00:00,Thunderstorm_Wind 2020071413 2020071413
Thunderstorm_Wind,1124_215_1164_255,2020-07-02 16:00:00,2020-07-02 16:00:00,Thunderstorm_Wind 2020070216 2020070216
Marine_Thunderstorm_Wind,1121_162_1180_250,2020-07-02 16:00:00,2020-07-02 18:00:00,Marine_Thunderstorm_Wind 2020070216 2020070218
Lightning,1146_216_1189_259,2020-07-02 16:00:00,2020-07-02 16:00:00,Lightning 2020070216 2020070216
Marine_Thunderstorm_Wind,1108_205_1149_246,2020-07-03 13:00:00,2020-07-03 13:00:00,Marine_Thunderstorm_Wind 2020070313 2020070313
Flash_Flood+Flood,1110_198_1169_255,2020-07-05 13:00:00,2020-07-05 15:00:00,"Flash_Flood 2020070514 2020070515,Flood 2020070513 2020070513"
Marine_Thunderstorm_Wind,1170_215_1210_255,2020-07-12 21:00:00,2020-07-12 21:00:00,Marine_Thunderstorm_Wind 2020071221 2020071221
Hail+Thunderstorm_Wind,928_341_1011_430,2020-07-30 17:00:00,2020-07-30 20:00:00,"Hail 2020073017 2020073020,Thunderstorm_Wind 2020073019 2020073020"
Heavy_Rain,0_428_20_505,2020-10-01 07:00:00,2020-10-03 16:00:00,Heavy_Rain 2020100107 2020100316
Flash_Flood+Flood,830_860_929_910,2020-07-01 00:00:00,2020-07-03 20:00:00,"Flash_Flood 2020070100 2020070105,Flood 2020070109 2020070320"
Thunderstorm_Wind,1248_207_1385_307,2020-07-21 16:00:00,2020-07-22 17:00:00,Thunderstorm_Wind 2020072116 2020072217
Heavy_Rain+Thunderstorm_Wind,750_457_889_569,2020-07-26 12:00:00,2020-07-27 15:00:00,"Heavy_Rain 2020072612 2020072715,Thunderstorm_Wind 2020072615 2020072615"
Thunderstorm_Wind,1419_593_1465_648,2020-07-21 15:00:00,2020-07-21 16:00:00,Thunderstorm_Wind 2020072115 2020072116
Thunderstorm_Wind,1460_570_1523_658,2020-07-31 16:00:00,2020-07-31 20:00:00,Thunderstorm_Wind 2020073116 2020073120
Thunderstorm_Wind,1496_625_1537_669,2020-07-23 21:00:00,2020-07-23 22:00:00,Thunderstorm_Wind 2020072321 2020072322
Thunderstorm_Wind,1487_612_1529_666,2020-07-23 21:00:00,2020-07-23 22:00:00,Thunderstorm_Wind 2020072321 2020072322
Flash_Flood,1531_669_1584_730,2020-07-10 12:00:00,2020-07-10 16:00:00,Flash_Flood 2020071012 2020071016
Flash_Flood+Thunderstorm_Wind,1131_535_1200_615,2020-07-19 16:00:00,2020-07-20 06:00:00,"Flash_Flood 2020071916 2020072006,Thunderstorm_Wind 2020071916 2020071921"
Hail+Thunderstorm_Wind,1251_569_1346_670,2020-07-10 11:00:00,2020-07-10 15:00:00,"Hail 2020071014 2020071014,Thunderstorm_Wind 2020071011 2020071015"
Flash_Flood+Thunderstorm_Wind,1103_560_1195_647,2020-07-08 13:00:00,2020-07-08 17:00:00,"Flash_Flood 2020070813 2020070816,Thunderstorm_Wind 2020070813 2020070817"
Thunderstorm_Wind,1290_349_1332_392,2020-07-04 17:00:00,2020-07-04 17:00:00,Thunderstorm_Wind 2020070417 2020070417
Thunderstorm_Wind,1259_369_1331_447,2020-07-07 20:00:00,2020-07-08 20:00:00,Thunderstorm_Wind 2020070720 2020070820
Hail+Thunderstorm_Wind,1281_348_1343_447,2020-07-09 15:00:00,2020-07-10 19:00:00,"Hail 2020070915 2020070916,Thunderstorm_Wind 2020070915 2020071019"
Thunderstorm_Wind,1270_313_1312_356,2020-07-12 16:00:00,2020-07-12 16:00:00,Thunderstorm_Wind 2020071216 2020071216
Hail+Thunderstorm_Wind,1275_294_1385_428,2020-07-15 14:00:00,2020-07-15 18:00:00,"Hail 2020071515 2020071518,Thunderstorm_Wind 2020071514 2020071518"
Hail+Thunderstorm_Wind,1266_360_1325_420,2020-07-18 15:00:00,2020-07-19 18:00:00,"Hail 2020071816 2020071816,Thunderstorm_Wind 2020071815 2020071918"
Marine_Thunderstorm_Wind,1392_250_1437_295,2020-07-29 13:00:00,2020-07-29 13:00:00,Marine_Thunderstorm_Wind 2020072913 2020072913
Hail,1003_859_1049_906,2020-07-04 17:00:00,2020-07-04 17:00:00,Hail 2020070417 2020070417
Thunderstorm_Wind,1271_547_1312_588,2020-07-10 11:00:00,2020-07-10 11:00:00,Thunderstorm_Wind 2020071011 2020071011
Flash_Flood+Heavy_Rain+Lightning+Thunderstorm_Wind,1400_428_1502_527,2020-07-23 13:00:00,2020-07-23 20:00:00,"Flash_Flood 2020072316 2020072320,Heavy_Rain 2020072319 2020072319,Lightning 2020072317 2020072317,Thunderstorm_Wind 2020072313 2020072318"
Thunderstorm_Wind,1536_736_1578_778,2020-07-23 16:00:00,2020-07-23 16:00:00,Thunderstorm_Wind 2020072316 2020072316
Thunderstorm_Wind+Tornado,1138_214_1191_261,2020-07-14 14:00:00,2020-07-14 14:00:00,"Thunderstorm_Wind 2020071414 2020071414,Tornado 2020071414 2020071414"
Waterspout,1144_210_1192_260,2020-07-26 11:00:00,2020-07-26 11:00:00,Waterspout 2020072611 2020072611
Flood+Thunderstorm_Wind,1105_198_1160_266,2020-07-15 18:00:00,2020-07-15 20:00:00,"Flood 2020071518 2020071520,Thunderstorm_Wind 2020071518 2020071520"
Thunderstorm_Wind+Tornado,1372_694_1480_788,2020-07-29 12:00:00,2020-07-29 17:00:00,"Thunderstorm_Wind 2020072912 2020072917,Tornado 2020072917 2020072917"
Thunderstorm_Wind,909_799_969_848,2020-07-01 02:00:00,2020-07-01 03:00:00,Thunderstorm_Wind 2020070102 2020070103
Funnel_Cloud+Hail,838_851_878_891,2020-07-01 19:00:00,2020-07-01 19:00:00,"Funnel_Cloud 2020070119 2020070119,Hail 2020070119 2020070119"
Thunderstorm_Wind,848_478_923_572,2020-07-29 19:00:00,2020-07-30 01:00:00,Thunderstorm_Wind 2020072919 2020073001
Marine_Thunderstorm_Wind,1416_39_1511_108,2020-07-20 08:00:00,2020-07-20 15:00:00,Marine_Thunderstorm_Wind 2020072008 2020072015
Thunderstorm_Wind,1350_420_1434_500,2020-07-18 13:00:00,2020-07-18 17:00:00,Thunderstorm_Wind 2020071813 2020071817
Marine_Thunderstorm_Wind,1474_606_1514_646,2020-07-24 17:00:00,2020-07-24 17:00:00,Marine_Thunderstorm_Wind 2020072417 2020072417
Marine_Thunderstorm_Wind,1472_556_1542_626,2020-07-28 15:00:00,2020-07-28 19:00:00,Marine_Thunderstorm_Wind 2020072815 2020072819
Thunderstorm_Wind,976_345_1017_386,2020-07-30 21:00:00,2020-07-30 21:00:00,Thunderstorm_Wind 2020073021 2020073021
Thunderstorm_Wind,1031_253_1082_296,2020-07-31 15:00:00,2020-07-31 15:00:00,Thunderstorm_Wind 2020073115 2020073115
Thunderstorm_Wind,1322_392_1411_466,2020-07-21 14:00:00,2020-07-21 17:00:00,Thunderstorm_Wind 2020072114 2020072117
Lightning,1247_555_1288_596,2020-07-22 12:00:00,2020-07-22 12:00:00,Lightning 2020072212 2020072212
Hail+Thunderstorm_Wind,1406_107_1449_149,2020-07-15 14:00:00,2020-07-15 15:00:00,"Hail 2020071515 2020071515,Thunderstorm_Wind 2020071514 2020071514"
Flood,745_388_829_435,2020-07-23 13:00:00,2020-07-23 17:00:00,Flood 2020072313 2020072317
Hail+Thunderstorm_Wind,1251_341_1366_448,2020-07-21 11:00:00,2020-07-22 20:00:00,"Hail 2020072111 2020072115,Thunderstorm_Wind 2020072112 2020072220"
Funnel_Cloud+Thunderstorm_Wind,1402_102_1454_164,2020-07-29 16:00:00,2020-07-29 17:00:00,"Funnel_Cloud 2020072917 2020072917,Thunderstorm_Wind 2020072916 2020072916"
Thunderstorm_Wind,562_785_621_836,2020-07-01 16:00:00,2020-07-01 16:00:00,Thunderstorm_Wind 2020070116 2020070116
Thunderstorm_Wind,648_769_741_831,2020-07-04 17:00:00,2020-07-04 19:00:00,Thunderstorm_Wind 2020070417 2020070419
Hail,557_772_739_818,2020-07-05 16:00:00,2020-07-05 19:00:00,Hail 2020070516 2020070519
Hail+Thunderstorm_Wind,563_797_630_847,2020-07-09 21:00:00,2020-07-09 22:00:00,"Hail 2020070921 2020070921,Thunderstorm_Wind 2020070922 2020070922"
Thunderstorm_Wind,1231_561_1272_616,2020-07-11 16:00:00,2020-07-11 17:00:00,Thunderstorm_Wind 2020071116 2020071117
Hail+Thunderstorm_Wind,1265_568_1334_637,2020-07-12 14:00:00,2020-07-12 16:00:00,"Hail 2020071216 2020071216,Thunderstorm_Wind 2020071214 2020071216"
Thunderstorm_Wind,869_199_926_251,2020-07-31 14:00:00,2020-07-31 15:00:00,Thunderstorm_Wind 2020073114 2020073115
Thunderstorm_Wind,1183_703_1224_744,2020-07-28 20:00:00,2020-07-28 21:00:00,Thunderstorm_Wind 2020072820 2020072821
Thunderstorm_Wind,1183_576_1232_638,2020-07-07 13:00:00,2020-07-07 16:00:00,Thunderstorm_Wind 2020070713 2020070716
Flood+Thunderstorm_Wind,1200_588_1252_645,2020-07-08 15:00:00,2020-07-08 17:00:00,"Flood 2020070817 2020070817,Thunderstorm_Wind 2020070815 2020070816"
Flash_Flood+Flood,1110_200_1158_245,2020-07-28 14:00:00,2020-07-28 16:00:00,"Flash_Flood 2020072814 2020072816,Flood 2020072816 2020072816"
Marine_Thunderstorm_Wind,1123_177_1199_256,2020-07-28 16:00:00,2020-07-28 19:00:00,Marine_Thunderstorm_Wind 2020072816 2020072819
Thunderstorm_Wind,1039_701_1081_743,2020-07-09 13:00:00,2020-07-09 13:00:00,Thunderstorm_Wind 2020070913 2020070913
Funnel_Cloud+Thunderstorm_Wind+Tornado,916_788_979_848,2020-07-08 16:00:00,2020-07-08 18:00:00,"Funnel_Cloud 2020070818 2020070818,Thunderstorm_Wind 2020070816 2020070816,Tornado 2020070816 2020070817"
Thunderstorm_Wind,839_474_927_569,2020-07-02 20:00:00,2020-07-03 00:00:00,Thunderstorm_Wind 2020070220 2020070300
Lightning+Thunderstorm_Wind,1188_230_1270_318,2020-07-01 13:00:00,2020-07-01 16:00:00,"Lightning 2020070113 2020070113,Thunderstorm_Wind 2020070115 2020070116"
Marine_Thunderstorm_Wind,1184_203_1269_279,2020-07-01 16:00:00,2020-07-01 20:00:00,Marine_Thunderstorm_Wind 2020070116 2020070120
Thunderstorm_Wind,1223_238_1265_281,2020-07-01 17:00:00,2020-07-01 17:00:00,Thunderstorm_Wind 2020070117 2020070117
Marine_Thunderstorm_Wind,1486_572_1526_612,2020-07-01 12:00:00,2020-07-01 12:00:00,Marine_Thunderstorm_Wind 2020070112 2020070112
Flash_Flood+Flood,1454_582_1499_631,2020-07-22 16:00:00,2020-07-22 22:00:00,"Flash_Flood 2020072216 2020072217,Flood 2020072217 2020072222"
Thunderstorm_Wind,1384_457_1425_500,2020-07-16 14:00:00,2020-07-16 14:00:00,Thunderstorm_Wind 2020071614 2020071614
Thunderstorm_Wind,1333_433_1431_495,2020-07-17 14:00:00,2020-07-17 17:00:00,Thunderstorm_Wind 2020071714 2020071717
Thunderstorm_Wind,1354_448_1396_492,2020-07-23 13:00:00,2020-07-23 13:00:00,Thunderstorm_Wind 2020072313 2020072313
Hail+Thunderstorm_Wind,1249_549_1327_657,2020-07-09 13:00:00,2020-07-09 18:00:00,"Hail 2020070913 2020070915,Thunderstorm_Wind 2020070913 2020070918"
Thunderstorm_Wind+Tornado,755_421_828_479,2020-07-14 19:00:00,2020-07-14 20:00:00,"Thunderstorm_Wind 2020071419 2020071420,Tornado 2020071419 2020071419"
Thunderstorm_Wind,1310_593_1351_634,2020-07-19 17:00:00,2020-07-19 17:00:00,Thunderstorm_Wind 2020071917 2020071917
Thunderstorm_Wind,1323_515_1364_556,2020-07-06 17:00:00,2020-07-06 18:00:00,Thunderstorm_Wind 2020070617 2020070618
Hail+Thunderstorm_Wind,1263_311_1362_450,2020-07-25 13:00:00,2020-07-25 19:00:00,"Hail 2020072513 2020072517,Thunderstorm_Wind 2020072513 2020072519"
Thunderstorm_Wind,1368_148_1430_243,2020-07-21 12:00:00,2020-07-22 14:00:00,Thunderstorm_Wind 2020072112 2020072214
Hail+Thunderstorm_Wind,1004_778_1085_855,2020-07-05 15:00:00,2020-07-05 19:00:00,"Hail 2020070515 2020070518,Thunderstorm_Wind 2020070516 2020070519"
Marine_Thunderstorm_Wind,1463_73_1512_131,2020-07-05 15:00:00,2020-07-06 15:00:00,Marine_Thunderstorm_Wind 2020070515 2020070615
Marine_Thunderstorm_Wind,1395_253_1437_295,2020-07-28 17:00:00,2020-07-28 17:00:00,Marine_Thunderstorm_Wind 2020072817 2020072817
Hail,667_757_751_857,2020-07-10 12:00:00,2020-07-10 13:00:00,Hail 2020071012 2020071013
Hail+Thunderstorm_Wind,554_802_751_860,2020-07-23 15:00:00,2020-07-23 16:00:00,"Hail 2020072315 2020072315,Thunderstorm_Wind 2020072315 2020072316"
Thunderstorm_Wind,663_814_703_854,2020-07-30 18:00:00,2020-07-30 18:00:00,Thunderstorm_Wind 2020073018 2020073018
Hail,172_687_212_727,2020-07-22 16:00:00,2020-07-22 16:00:00,Hail 2020072216 2020072216
Marine_Thunderstorm_Wind+Waterspout,1437_122_1506_242,2020-07-23 10:00:00,2020-07-23 19:00:00,"Marine_Thunderstorm_Wind 2020072318 2020072319,Waterspout 2020072310 2020072310"
Marine_Thunderstorm_Wind,1036_814_1099_875,2020-07-18 20:00:00,2020-07-18 21:00:00,Marine_Thunderstorm_Wind 2020071820 2020071821
Marine_Thunderstorm_Wind,1133_815_1199_878,2020-07-06 14:00:00,2020-07-06 14:00:00,Marine_Thunderstorm_Wind 2020070614 2020070614
Thunderstorm_Wind,1238_554_1279_596,2020-07-19 16:00:00,2020-07-19 16:00:00,Thunderstorm_Wind 2020071916 2020071916
Flood+Thunderstorm_Wind,1255_549_1351_648,2020-07-27 16:00:00,2020-07-27 18:00:00,"Flood 2020072717 2020072718,Thunderstorm_Wind 2020072716 2020072717"
